,original,paraphrase
56,Poklical jo je in jo povabil na večerjo.,Poklical jo je in povabil na večerjo.
57,Kje je šampanjec? je vprašala in z očmi iskala vedro s steklenico.,Kje je šampanjec? je vprašala in z očmi iskala vedro s steklenico.
58,"Ne približuj se mi. Si namreč skoraj smrtno nevarna. Pri tebi človeku popustijo vse zavore. Jaz pa bi se rad resno pogovoril, ji je rekel. Res se je umaknila na drug konec zofe, a vendar je bila še vedno precej blizu. Pričakujoče ga je gledala.","Ne hodi blizu mene; ste skoraj smrtno nevarne. z vami, vse zavore so sproščene. Rad bi, da imajo resen pogovor, je dejal. ja, je šla na drugi konec kavča, vendar je bila še vedno precej blizu. Je pogledal na njega pričakujoče."
59,"Sploh ne razumem, kaj hočeš povedati. Saj nisi pijan, ali pa vendarle? Si že kaj pil, preden sem prišla? je resno vprašala. Od tistih dveh kozarcev vina pač ni mogel biti pijan, to je vedela.","sploh ne razumem, kaj govoriš. nisi pijan ali pa si samo pijan? si vprašal karkoli, preden sem prišel? je bil resen. od teh dveh kozarcev vina, je preprosto ni mogel biti pijan, je vedela"
60,GLAVE IN REPI,Glava in rep
61,"V kratki opravi in s predpasnikom sem se lotila vkuhavanja kompotov in marmelad. Ko se človek enkrat spravi k delu, potem še nekako gre. Enako težavo imam v teh dneh tudi z likanjem. Nikakor mi ne gre od rok, tako da vse, kar potrebujemo, sproti izvlečem iz kupa in navsezgodaj zjutraj malo podrgnem.","Ko prideš na delo, lahko še vedno to storite. Imam isti problem z likanjem v teh dneh. nisem dober v ničemer, tako da sem potegnite vse, kar potrebujemo iz kupe in ga vtrite malo zgodaj zjutraj."
62,"Po 10 minutah naredimo prvi preskus želiranja: na krožniček kanemo kapljo marmelade. Če se strdi, je marmelada kuhana, če ne, jo še malo kuhamo. Napolnimo v čiste kozarce.","Po 10 minutah opravite prvi test želiranja: Na krožnik položite kapljico marmelade. Če se strdi, se džem skuha, če ne, ga skuhajte še malo več. Napolnite čiste kozarce."
63,"Ivan se je odločil, da bo vse, kar zasluži, takoj zapil, zajedel in zaseksal","Ivan se je odločil, da bo vse, kar si zasluži, takoj popil, pojedel in zažgal"
64,"Rade ga imajo, ker je nežen in pozoren, ker vsaki od njih prinese kakšno majhno darilo, poželjivo se mu nastavljajo in ga odkrito osvajajo, saj razumejo, kako je po tednu dni postal potreben ženske. In dobro vedo, da kadar ljubi Ivan, takrat se pije, je in seksa do onemoglosti. Denar pa? Ni vprašanje, vsaka, še tako majhna usluga je bogato in sproti poplačana. Ivan ima stil in tudi določene zahteve, najraje pa divji seks v troje. On in dve dami v tangicah, rdečih nogavicah, z dražečimi podvezicami in čevlji z visoko peto, ki nežno bodejo in praskajo po dlakah. Noč je dolga, polna seksualnega naboja. Drobna in nežna Natjenka bi še in še, tako rada ima Ivana, vzburja jo, všeč ji je kot stranka in kot moški, a ponavadi omaga že po prvi nori rundi, vrže jo in kar zaspi. Olja je njeno nasprotje. Visoka je in močna, zlahka zdrži do jutra in še dlje. Z Ivanom pijeta vodko, viski, šampanjec, se ljubita, malo dražita in božata, vmes malo zadremata, potem se spet divje zapičita drug v drugega. Vmes se malo poigrata še z Nastjo, ki v polsnu prede kot zadovoljna mucka, potem spet zahropeta.","Všeč mu je, ker je nežen in pozoren, ker prinaša majhno darilo za vsakega od njih, so pripravljeni določiti in osvojiti ga odkrito, ker razumejo, kako je postal pohoten ženske po enem tednu. In zelo dobro vedo, da ko ljubi Ivan, pije, je in ima spolne odnose, dokler se ne utrudi. Denar ni vprašanje, vsaka majhna usluga je bogato in hitro nagrajena. Ivan ima slog in tudi nekatere zahteve, vendar ima raje divji seks v troje. On in dve gospe v tangicah, rdečih nogavicah, z podvezicami in čevlji z visokimi petami, ki nežno drgnejo in praskajo dlake. Noč je dolga, polna spolnega naboja. Drobna in nežna Natjenka bi si želela več in več, zato ji je všeč Ivan, vklopi jo, mu je všeč kot stranka in kot človek, vendar ponavadi po prvem norem krogu, jo vrže in zaspi. Ona je nasprotje olja. Visoka in močna, lahko zlahka traja do jutra in dlje. Ti in Ivan pijete vodko, ljubite, malo dražite in božate, med, malo dremate, nato pa se igrate z Nastijem, ki je srečen v svojem pol-spanju kot mucka, nato pa spet pišu."
65,"Virštajnska vina so že od nekdaj slovela in prav v tem znamenitem kraju v Obsotelju so imeli vinsko trto grofje Celjski. Ali je imenitno vinsko kapljico s tamkajšnjih razgibanih gričev pila tudi Veronika, ne vemo, stari zapisi pa pravijo, da ga je rad zaužil grof Friderik. Tradicija negovanja trte in pridelovanja vin je ostala, med najuspešnejšimi in najstarejšimi rodovinami, ki svoje življenje posvečajo vrhunski kapljici, pa je tudi Amonova iz Olimja pri Podčetrtku. Uspešno družinsko podjetje vodita Greta Amon in njen soprog, njuna sin in hči pa kljub študiju pri zahtevnem ohranjanju tradicije nenehno sodelujeta. Prav zato, ker Amonovi vedo, da želi sodoben turist ob vinski tradiciji in kulinaričnih užitkih še dodatna doživetja, se ob njihovi kleti razprostira razgibano igrišče za golf. A zakaj bi vam danes odkrili vse o zelo zanimivi slovenski dinastiji Amon za to bo v prihodnje poskrbel naš zvesti sodelavec novinar Juš Turk.","Virštajnske vina so že od nekdaj znana, v tem slavnem kraju v Obsotelju pa so imeli vinsko trto tudi Celjski grofje. Ali je Veronika tudi pila veliko kapljico tamkajšnjega griča, ne vemo, toda stari zapisi pravijo, da jo je grof Friderik rad jedel. Tradicija gojenja vinske trte in pridelovanja vin je ostala in med najuspešnejšimi in najstarejšimi družinami, ki svoje življenje posvečajo vrhnji kapljici, je Amonova iz Olimja pri Podčetrtku. Uspešno družinsko podjetje vodita Greta Amon in njen mož, njun sin in hči pa, kljub študiju v zahtevnem ohranjanju tradicije, nenehno sodelujeta. Prav zato, ker Amonovi vedo, da hoče sodobni turist ob svojem vinskem tečaju golfa po svoji vinski tradiciji danes poskrbeti za našo zvesto vinsko klet."
0,"""Pri nas v Sloveniji smo še zmeraj širokosrčni in mižimo na eno, včasih pa na obe očesi","""V Sloveniji smo še vedno širokosrčni in si zatiskamo oči pred enim ali obema."
1,"Na koncu svojega prispevka Uprava RS za pomorstvo preseneti z zaključkom, ""da pilotska služba po sedanjih predpisih (Uredbah o pilotaži) uporabnikom nudi bistveno boljše storitve"". Le kje je Uprava našla argumente za tako trditev, saj pilotažo opravljajo isti delavci, z istimi čolni in tehničnimi sredstvi, po enako sestavljenem planu pilotaže, kot so to počeli dosedaj, le da so sedaj organizirani v svoji privatni družbi in za svoje delo zaračunavajo višjo ceno. Ob tem moramo opozoriti tudi na argument, ki ga Uprava RS za pomorstvo kar naprej uporablja, namreč, da je tako urejeno v vseh razvitih pomorskih državah. Sklicevanje na ta argument je vprašljivo, saj je znano, da v razvitih pomorskih državah luke niso organizirane tako, kot je Luka Koper, ko je v enem gospodarskem subjektu organizirana dejavnost pristaniške uprave, luškega prekladalca, upravljalca posameznega terminala, skladiščnika, vzdrževalca luške infrastrukture in tehnologije itd. V pomorsko razvitih državah so, zaradi drugačnega nastanka in razvoja luške dejavnosti, posamezne naštete dejavnosti organizirane v samostojnem gospodarskem subjektu - družbi. To, da so v Luki Koper vse naštete dejavnosti v istem subjektu, prej v podjetju, sedaj v delniški družbi, se je v dosedanjem poslovanju izkazalo kot konkretna prednost Luke Koper, ki ji je zagotavljala večjo učinkovitost pri opravljanju luških storitev in s tem tudi njeno konkurenčnost v primerjavi z ostalimi lukami.","Na koncu njegovega prispevka, Pomorska uprava Republike Slovenije preseneča s sklepom ""da pilotska služba uporabnikom ponuja bistveno boljše storitve v skladu z veljavnimi predpisi (Pravilnik o pilotaži)."" Kje je uprava našla argumente za takšno izjavo, ker pilotažo izvajajo isti delavci, z enakimi čolni in tehničnimi sredstvi, po istem pilotnem načrtu kot do sedaj, razen da so zdaj organizirani v svojem zasebnem podjetju in zaračunavajo višjo ceno za svoje delo. Sklicevanje na ta argument je vprašljivo, saj je znano, da v razvitih obmorskih državah pristanišča niso organizirana na enak način kot v Luki Koper, ko so v enem gospodarskem subjektu dejavnosti pristaniške uprave, pristaniškega špediterja, upravljavca posameznega terminala, skladiščnika, vzdrževanja pristaniške infrastrukture in tehnologije itd. V pomorskih razvitih državah so zaradi različnega nastanka in razvoja pristaniških dejavnosti posamezne dejavnosti na seznamu organizirane v neodvisnem gospodarskem subjektu - družbi. Dejstvo, da so v Luki Koper vse naštete dejavnosti v istem subjektu, prej v družbi, zdaj v delniški družbi, se je izkazalo za konkretno prednost Luke Koper, ki je zagotovila večjo učinkovitost pri zagotavljanju pristaniških storitev in s tem konkurenčnost v primerjavi z drugimi pristanišči."
2,pravni svetovalec,pravni svetovalec
3,"Podcenjenost uprave je prevelika, povezanost z državljani premajhna","Prenizka ocena uprave, prenizka povezava z državljani"
4,"V skladu z rekom ""Če je vest dobra, je za ministra, če je slaba, je pa za šefa uprave; če je uprava naredila kaj dobrega, gredo zasluge ministru, za napake pa je odgovoren šef uprave"" je bilo slišati veliko misli o delu delavcev javnega sektorja, o neustreznem nagrajevanju upravnih delavcev, zakoreninjenih prepričanj, da so javni delavci zgolj paraziti, ki ničesar ne ustvarjajo... Menedžment v javni upravi v teoriji sicer ni nov pojem, v praksi pa bo v tej smeri treba še veliko postoriti.","Glede na pregovor ""Če je novica dobra, je za ministra, če je slaba, ampak za šefa uprave; če je uprava naredila nekaj dobrega, gre kredit ministru, ampak šef uprave je odgovoren za napake, ""je bilo veliko misli o delu delavcev v javnem sektorju, o neustreznem plačilu upravnih delavcev, zakoreninjena prepričanja, da so javni delavci samo paraziti, ki ne ustvarjajo ničesar... Upravljanje v javni upravi je v teoriji ni nov koncept, ampak v praksi je še vedno veliko"
5,MOJCA GRUŠOVNIK,Moj dragi vojak
6,"V Novi Gorici so pripravili nove načrte, jih maja letos poslali v Ljubljano, vendar pozitivnega odgovora še ni. Dijaki, ki danes obiskujejo kmetijsko šolo, nabirajo znanje v pretesnih in celo smrtno nevarnih prostorih. ""Pouk imamo na štirih lokacijah, prostori v Kromberku pa so tako slabi, da jih lahko poruši malo večje neurje,"" je povedal Bojan Bratina, ravnatelj Srednje šole Nova Gorica, pod okrilje katere spadata tudi kmetijska in zdravstvena šola.","V Novi Gorici so bili pripravljeni novi načrti, ki so bili v Ljubljano poslani maja letos, vendar pozitivnega odgovora še ni. Učenci, ki danes obiskujejo kmetijsko šolo, pridobivajo znanje na preozkih in celo življenjsko nevarnih krajih. ""Pouk imamo na štirih lokacijah, toda kraji v Kromberku so tako slabi, da jih lahko uniči malo večja nevihta "", je povedal Bojan Bratina, ravnatelj Srednje šole Nova Gorica, ki vključuje tudi kmetijske in zdravstvene šole."
7,JANI ALIČ,Jani Alič
8,"V okviru tega veselega oktobra bo poleg sejma to nedeljo, 6. oktobra, slovesna trgatev 400 let stare trte na Lentu, za 16. oktober je napovedano slovesno odprtje avtoceste Šentilj-Pesnica-(Maribor), 19. oktobra bodo odprli Koroški most čez Dravo, 20. oktobra bo praznik mesta Maribor, odprli bodo tudi novo zgradbo Telekoma, sledilo bo še Borštnikovo srečanje, zato bo za mnoge oktober izjemno naporen mesec. (ok)","Poleg sejma, ki bo v nedeljo, 6. oktobra, bo tudi svečana trgatev 400 let stare trte na Lentu; svečano odprtje Šentilj-Pesnica- (za 16. oktober je predvidena mariborska avtocesta; 19. oktobra bo odprt Koroški most čez Dravo; 20. oktobra bo praznik mesta Maribor; odprtje nove Telekomove stavbe bo sledilo srečanje z Borštnikom, zaradi česar bo v času sejma tudi odprtje Koroškega mostu čez Dravo;"
9,ORMOŽ - Občinska zveza kulturnih organizacij Ormož je predstavila projekt z naslovom Ljubiteljska kultura - turizem - mediji. Kulturni zanesenjaki v OZKO Ormož pod vodstvom predsednice prof. Alenke Čurin-Janžekovič in strokovnega delavca Tomaža Bolcanja so se odločili v ormoški občini precej živi ljudski kulturi dati nove razsežnosti.,"ORMOŽ - Občinsko društvo kulturnih organizacij Ormož je predstavilo projekt z naslovom Amaterska kultura - turizem - mediji. Ljubitelji kulture so se v OZKO Ormož pod vodstvom predsednice prof. Alenke Čurin-Janžekovič in strokovnega delavca Tomaža Bolcana odločili, da dajo živahni ljudski kulturi v občini Ormož novo dimenzijo."
10,Mesec Krasa v občini Komen,Mesec krasa v občini Komen
11,Trdovratnežem odvzeti položaj,Ukraden s položaja
12,"TRBOVLJE - Na odru trboveljskega Delavskega doma se bo v letošnji gledališki sezoni zvrstilo šest predstav slovenskih gledaliških skupin. Poleg Mestnega gledališča ljubljanskega, SNG Drame, Primorskega gledališča, SML in Ljudskega gledališča Celje bodo nastopili tudi amaterski gledališčniki. Tako bodo nastopili tudi člani mladinskega gledališča Svoboda iz Trbovelj s predstavo Feniks preveč. (mg)","TRBOVLJE - V letošnji gledališki sezoni bomo na odru Delavskega doma v Trbovljah videli šest predstav slovenskih gledaliških skupin. Poleg Mestnega gledališča ljubljanskega, SNG Drame, Primorskega gledališča, SML in Ljudskega gledališča Celje bodo na sporedu tudi predstave amaterskih gledališč."
13,Sporazum o sodelovanju,Sporazum o sodelovanju
14,Vonj po gnoju pa je vse privlačnejši,Vonj po gnoju postaja vse bolj privlačen.
15,"Tudi na zadnjem razpisu je bilo največ zanimanja za dolgoročna posojila, saj so za kratkoročna razdelili le 114 milijonov tolarjev, del neporabljenega denarja bodo po vsej verjetnosti prenesli v razpis, ki ga pravkar pripravljajo. Sicer pa se je minuli teden sestal upravni odbor Sklada za razvoj malega gospodarstva in med drugim sprejel sanacijski program, s katerim naj bi razrešili problematiko vnovčevanja jamstev, pri katerih so že izpeljali plačilo iz naslova izdanih garancij oziroma poroštev. Spornih in vnovčenih jamstev, ki jih je sklad izdal v letih 1992 in 1993, je 24 v skupni višini 13,33 milijona mark, od tega je 8 projektov v vrednosti 8,83 milijona mark že v stečaju, za ostalih 16 projektov v višini 4,5 milijona mark pa je večji del obveznosti dolžnikov že zapadel. Upravni odbor je sklenil, naj sklad večji del svojih obveznosti poravna takoj in se s tem izogne plačilu zamudnih obresti.","Tudi na zadnjem razpisu je bilo največ zanimanja za dolgoročna posojila, saj je bilo za kratkoročna posojila razdeljenih le 114 milijonov tolarjev, del neporabljenega denarja pa bo po vsej verjetnosti prenesen na razpis, ki se trenutno pripravlja. Vendar pa se je prejšnji teden sestal upravni odbor Sklada za razvoj malega gospodarstva, ki je med drugim sprejel program izterjave, namenjen reševanju problema realizacije garancij, kjer je bilo plačilo že izvedeno iz izdanih garancij oziroma garancij. Sporne in unovčene garancije, ki jih je Sklad izdal v letih 1992 in 1993, 24 v skupnem znesku 13,33 milijona mark, od katerih je bilo 8 projektov v višini 8,83 milijona mark že v stečaju, medtem ko je za ostalih 16 projektov v višini 4,5 milijona mark zapadel že večji del dolga."
16,"Sklad je bil ustanovljen zaradi pospeševanja razvoja malega gospodarstva, jamstva za posojila pa spadajo med ukrepe pospeševanja tega segmenta gospodarstva, zato so ga mnogi neuspešni projekti, za katere je dal sklad jamstvo in so ga upniki vnovčili, materialno osiromašilo, je povedala državna sekretarka za malo gospodarstvo Staša Baloh Plahutnik, ki je tudi predsednica upravnega odbora sklada. Za sanacijo poslovanja sklada upravni odbor predlaga dokapitalizacijo v višini 9 milijonov mark, s tem denarjem bi ustanovili rizični sklad, dobili pa ga bodo iz naslova kupnin. S tem denarjem bodo oblikovali tudi varnostne rezerve za plačilo vnovčenih in spornih terjatev. Ker pričakovana vsota poplačil dolžnikov ne bo presegla 50 odstotkov, upravni odbor vladi predlaga dodatno dokapitalizacijo sklada. Med razlogi za toliko neuspelih projektov, za katere je sklad v preteklih letih prevzel jamstvo, v skladu navajajo prenizko lastno udeležbo in podkapitaliziranost podjetij, neugodne bančne pogoje in finančno nedisciplino, prekratek rok vračila kreditov, kar je zlasti problem pri projektih s področja turizma, razlike med navedenimi in resnično vloženimi lastnimi sredstvi in prekomerna vlaganja.","Sklad je bil ustanovljen za pospeševanje razvoja malega gospodarstva, medtem ko so garancije za posojila eden od ukrepov za spodbujanje tega segmenta gospodarstva, toliko neuspelih projektov, za katere je sklad zagotovil jamstvo in so ga upniki vnovčili, so ga materialno osiromašili, je dejal državni sekretar za mala podjetja Staša Baloh Plahutnik, ki je tudi predsednik upravnega odbora sklada. Za sanacijo poslovanja sklada upravni odbor predlaga povečanje kapitala v višini 9 milijonov mark, s tem denarjem bi bil ustanovljen sklad za tveganja, in ga bo pridobil od Ker pričakovani znesek dolžnikov ""ne bo presegel 50%, upravni odbor vladi predlaga dodatno dokapitalizacijo sklada. Med razlogi za tako veliko število neuspešnih projektov, za katere je sklad v zadnjih letih prevzel jamstvo, je navedel nizko udeležbo in podkapitalizacijo podjetij, neugodne bančne pogoje in finančno nedisciplino, kratke roke odplačevanja, ki so pri turističnih projektih še posebej problematične, razlike med navedenimi in dejansko vloženimi lastnimi sredstvi ter prekomerne naložbe."
17,"Kljub naraščajočemu navdušenju, ki bo nekoč kot vedno privedlo do tega, da bodo kupci pripravljeni zgrabiti karkoli, kar se imenuje delnica, podražitev številnih podjetij ni zgolj odsev pritokov denarja, ki se ga mora po vsej sili nekam vložiti. Podprta je z dobrimi poslovnimi rezultati prvega polletja ali - kot v primeru BTC, ki napoveduje renominacijo delnic in delno razdelitev obveznic kot obliko zmanjšanja kapitala - tudi s posebnimi dogodki.","Kljub vse večjemu navdušenju, ki bo nekega dne, kot vedno, pripeljalo do tega, da bodo kupci pripravljeni zgrabiti vse, kar se imenuje delnica, povečanje cene številnih podjetij ni le odraz prilivov denarja, ki ga je treba nekam vložiti, temveč ga podpirajo dobri poslovni rezultati v prvi polovici leta ali - kot v primeru BTC-ja, ki napoveduje renominacijo delnic in delno razdelitev obveznic kot obliko zmanjšanja kapitala - tudi s posebnimi ukrepi za zmanjšanje kapitala."
18,"Pravo trgovanje le ""v živo""","Samo realno trgovanje ""živo"""
19,"Voznik pa je pritisnil na plin in odpeljal dalje, a ker je bil, kot kaže, neizkušen, je v Podlogu zapeljal s ceste in razbil vozilo. Še preden so prišli policisti, so tatiči izginili v noč, tako da jih še vedno iščejo. (gm)","Voznik je pritisnil na plin in odpeljal naprej, ker pa je bil očitno neizkušen, je zapeljal s ceste v Podlogu in razbil vozilo. Še preden je prišla policija, sta tatova izginila v noč, zato ju še vedno iščeta. (gm)"
20,"Po temeljitem razgovoru so ugotovili, da se je 22-letni romunski državljan tja skril že na Madžarskem in da je bil namenjen v Italijo. Vrnili so ga hrvaškim mejnim oblastem. (sv)","Po temeljitem intervjuju so ugotovili, da se je 22-letni romunski državljan tam že skrival na Madžarskem in se odpravljal v Italijo. Vrnjen je bil hrvaškim mejnim organom. (sv.)"
21,"MARIBOR, 1. - Iz Okrožnega sodišča v Mariboru so včeraj v izjavi za javnost sporočili, da so v petek, 27. septembra, k dežurnemu preiskovalnemu sodniku Okrožnega sodišča v Mariboru privedli D. J. zaradi suma storitve kaznivega dejanja poskusa umora.","MARIBOR, 1. - Okrožno sodišče v Mariboru je včeraj v sporočilu za javnost objavilo, da so D. J. v petek, 27. septembra, privedli pred preiskovalnega sodnika Okrožnega sodišča v Mariboru zaradi suma storitve kaznivega dejanja poskusa umora."
22,"Po zaslišanju so istega dne zoper privedenega odredili pripor, okrožni državni tožilec iz Maribora pa je vložil tudi zahtevo za preiskavo zoper priprtega D. J. zaradi suma storitve kaznivega dejanja poskusa umora. (STA)","Po obravnavi istega dne je bil moški, ki je bil pripeljan v pripor, okrožni državni tožilec iz Maribora pa je vložil tudi zahtevo za preiskavo zoper D. J., pridržanega zaradi suma storitve kaznivega dejanja poskusa umora."
23,"Vabe psom sicer ne škodijo, saj jih po zaužitju le imunizirajo, vendar so psi po navedbah veterinarske uprave cepljeni vsako leto najkasneje do 15. maja oziroma po dopolnjenem četrtem mesecu starosti.","Vabe psom ne škodijo, saj so imunizirani šele po zaužitju, po podatkih veterinarskega organa pa pse cepijo vsako leto do 15. maja oziroma po dopolnjenem četrtem mesecu starosti."
24,"LJUBLJANA, 1. - Na okrožnem sodišču v Ljubljani se je končalo sojenje 25-letni dvojici iz Ljubljane, prvoobtoženi Aleksander Simoni je zaradi preprodaje in omogočanja uživanja mamil dobil leto in sedem mesecev zapora, drugoobtoženemu Primožu Bertonclju, ki je mamila kupoval od Simonija in jih prodajal naprej, pa je sodni senat izrekel zaporno kazen enega leta.","LJUBLJANA, 1. - Na ljubljanskem okrožnem sodišču se je končalo sojenje 25-letnemu paru iz Ljubljane, prvi obtoženec Aleksander Simoni pa je zaradi preprodaje drog in omogočanja uporabe drog dobil leto in sedem mesecev zapora, drugega obtoženca Primoža Bertoncelja, ki je od Simonija kupoval droge in jih prodajal naprej, pa je senat obsodil na eno leto zapora."
25,"Vlomilci so bili ob koncu tedna na Gorenjskem izredno ""delavni""","Ob koncu tedna so bili vlomilci na Gorenjskem izjemno ""delavni"""
26,Štiriindvajsetletno K. U. zalotili pri vlomu - Vlomi v avtomobile...,Štiriindvajsetletni K. U. ujet v vlomu - vlomih v avtomobile...
27,Miha Marinko je bil v Ljubljani zaradi mnogih tatvin pravnomočno obsojen na zaporno kazen 120 dni. V zapor je prispel 7. novembra lani in bi kazen 11. marca letos že odsedel.,"Miha Marinko je bil v Ljubljani zaradi številnih tatvin pravnomočno obsojen na 120-dnevno zaporno kazen, v zapor je prišel 7. novembra lani, kazen pa bi odslužil 11. marca letos."
28,Star znanec policije,Nekdanji policijski častnik
29,"Za svoje podvige je bil na ljubljanskem sodišču kar šestkrat pravnomočno obsojen in si za vse skupaj prislužil štiri leta zapora. Na okrožnem sodišču v Novem mestu tudi ni tujec, tam so spoznali, da je kriv ropa in ga obsodili na leto in tri mesece zapora.","Zaradi svojih podvigov je bil na ljubljanskem sodišču šestkrat obsojen in prejel štiri leta zapora, prav tako ni tujec na okrožnem sodišču v Novem mestu, kjer je bil spoznan za krivega ropa in obsojen na leto in tri mesece zapora."
30,"Tako nastopi ljubezen do boga. Enega in edinega. Ki mu je všeč zgolj smrt in ljubezen do njega. Neposredna, brez telesa. In ta bog je - zanimivo - moškega spola: ""V odsotnosti vsega se / lahko spet pojavi Bog."" In tako kar naprej in naprej in više in više v prosojnost pepela, v stanje brez čuta za tip in čas, kar v dolgčas.","In ta bog je - zanimivo - moškega spola: ""V odsotnosti vsega se lahko Bog / se lahko ponovno pojavi."" In tako gre naprej in naprej in višje in višje v prosojnosti pepela, v stanju brez občutka za dotik in čas, precej dolgčas."
31,"Bilo je že po tistem, ko mi je izginila tista cev in vročica je minila, sem hotel spet govoriti, nič posebnega, le iztisniti iz sebe kdaj pa kdaj besedo, dve. Tudi po čisto zaresnih naporih, ko me je oblival hladen znoj, mi to ni uspelo. Potem sem začel raziskovati, temeljito. Jezik, ki sem ga držal med razpokanima in krvavečima ustnicama, sem skušal počasi potegniti v usta. Ustavil sem ga na vrhu gornjih zob, ki so imeli nenavadno smrdljiv okus, pomešan z zelo drobnimi dlačicami. Pa je prišel tisti trenutek, ko sem ga povlekel, še vedno jaz sam, le malce stran od ograje zob, ga je zagrabila neka neznana in čudna sila in ga z močnim sunkom porinila nazaj v goltanec. Vsi poskusi, da bi ga vrnil v prejšnjo lego, so se mi že na začetku razblinili. Težko je bilo raziskati ustno votlino, ki je bila zapolnjena z mehko, žametno, vročo snovjo, ki je drgetala v enakomernih krčih in bila nekajkrat večja kot ustna votlina, kako naj bi razumel. Misel in ugotovitev sta prišli hkrati: spi!, takoj za to zvezo pa še: najti moram način, kako ga bom prelisičil. Z vrhom jezika sem ga nekako otipaval, lepo rejen, speč, žametno mehek in takrat nisem pomislil, da ga lahko s šlatanjem prebudim. Z jezikom sem prilezel že precej blizu zob v spominu, sem se zares prvič prestrašil, to pa zato, ker se je sprednji del ust začel zoževati, zobje in ustnice, bilo je tako ozko, da tja nisem mogel vtakniti niti konice jezika. Kljub strahu sem si rekel, da poizkusiti vsekakor velja. Pripravljati sem se začel tam v možganih na zelo močan napad, mislil sem vse v eno žarečo ost, ki bi morala predreti, spustiti ven vse nakopičeno in morda mi bo uspelo izpljuniti tisto črno in odurno maso, ki je mirno spala. Zbiral sem skupaj raztreščene koščke poguma, dokler nisem bil pripravljen za nadaljnja odkrivanja.","To je bilo že po tem, ko je ta cev izginila in vročina je minilo, Želel sem govoriti še enkrat, nič posebnega, samo iztisniti besedo enkrat ali dvakrat. Tudi po čisto pravi prizadevanja, ko sem bil pridobivanje hladen znoj, Nisem uspel. Potem sem začel raziskovati, temeljito. Poskušal sem potegniti jezik sem potekala med razpokane in krvaveče ustnice počasi v usta. Ustavil sem ga na vrhu zob, ki je imel nenavadno smrdljiv okus, zmešamo z zelo fine dlake. Toda prišel je trenutek, ko sem ga potegnil, še vedno sam, le malo stran od ograje zob, nekaj čudno in nenavadno sila zgrabil in ga potisnil nazaj v golša z močno silo. Vsi poskusi, da bi ga dobili nazaj v svojo prejšnjo pozicijo je izginil od samega začetka. Bilo je težko raziskati ustno votlino, ki je bila napolnjena z mehko, žametno, vroča snov, ki trepetal v rednih kontrakcijah in je bil večkrat večji od ustne votline, kako bi lahko razumel. Misel in zaključek je prišel ob istem času spi, in takoj po tej povezavi tudi moram najti način, da ga zavede. S konico mojega jezika nekako sem ga čutil, dobro nahranjena, žametno, mehka, mehka, in v tistem času nisem mislil, da bi ga lahko zbudil s povijanjem. Z mojim jezikom sem prišel precej blizu zob v spomin, Bil sem res strah prvič, in to je zato, ker je sprednji del ust začel ozek, zobje in ustnice, je bilo tako ozko, da nisem mogel dati niti konico jezika tam. Kljub strahu sem rekel, da sam, da poskusite, je vsekakor veljavna. Začel sem se pripraviti tam v možganih za zelo močan napad, Mislil sem, da vse v eni svetleči točki, da bi prebodite, izpadejo vse nakopičene in morda bi lahko izpljunil, da je črna in ogabno masa, ki je mirno. zbiral sem skupaj zdrobljene koščke poguma spanja, dokler nisem bil pripravljen za nadaljnje odkritje."
32,Rešitev literarne uganke,Reševanje literarnih ugank
33,navale valov; in lahko bi naštel,valovi in jaz bi lahko rekla
34,"kjer v cvetju se panterja sveti oko,","Kjer v cvetu se sveti oko,"
35,"Pri njegovem sedemletnem, dokaj privatniško in umetnjakarsko zaokroženem študiranju se ne bi zadrževali, potekalo je v dveh različnih mestih, katerih vsako je spominsko zaznamovano z njegovimi ljubezenskimi ekstazami. Ena izmed teh izbrank je bila gostilničarjeva, druga pa župniška hčerka, obe sta bili zelo preprosti ženskici, znani in domala nesmrtni sta samo zaradi pesmi, ki jih je v njuno čast in slavo napisal on.","Njegov sedem - leto, precej zasebno in umetniško popolna študija nas ne bi motilo, je potekala v dveh različnih krajih, od katerih je vsak memorialized s svojo ljubezensko ekstazi, od katerih je bil eden gostilničar in drugi je bil župnik hči, oba sta bila zelo preprosta ženske, znan in skoraj nesmrten le zaradi pesmi je napisal v njihovo čast in slavo."
36,Narod pesnikov?,O pesnikih?
37,"Pravil ni, ki vedo, kaj pisati, kako,","Ni pravil, ki bi vedela, kaj pisati, kako pisati,"
