,original,paraphrase,transformer
1008,Slavko Gaberc,Slavko Gaberc,<pad> Slavko Gaberc</s>
1009,"Namen pričujočega članka je v zgoščeni obliki predstaviti bistvo gledališkega dogodka in obreda, njune stične točke in razlike ter možnost prepleta obeh komponent v novo kulturno obliko. Članek v novi luči osvetljuje psihološko bistvo ritualnega dejanja, ki ga običajno razumemo kot religiozno, sektaško ali tribalno prakso brez slehernega pomena za sodobnega človeka. Članek opozarja na potrebo in pomen sodobnega objektivnega obreda, ki se v okviru gledališkega iskanja poraja že celo stoletje in ki na novem nivoju zadošča človekovemu duhovnemu gonu k lastni ekstatični sredici, ki mu lahko edina omogoči vpogled v transcendenčno resničnost in vsevključujočo enotnost sveta. Tej srži se skuša sodobni človek (zaman) približati, ob odsotnosti ustreznih (pozabljenih in novih) kulturnih oblik in tehnik, s fizično in psihično nevarnimi surogati. Pri pisanju se je avtor naslanjal na teoretično poznavanje mitologije in obrednosti ter psihologije rituala in na tridesetletna praktična izkustva iz lastnega in tujega (Grotowski) performativnega ustvarjanja in aktivnih izkustev objektivne obrednosti ter z raziskavo raznih oblik veznih členov med gledališčem in obredom.","Namen članka je v strnjeni in jedrnati obliki predstaviti bistvo gledališkega dogodka in rituala, njune stične točke in razlike ter možnost prepletanja obeh komponent v novo kulturno obliko. Članek na novo osvetli psihološko bistvo obrednega dejanja, ki ga običajno razumemo kot religiozno, sektaško ali plemensko prakso, ki za sodobnega človeka nima nobenega pomena. Članek opozarja na potrebo in pomen sodobnega objektivnega rituala, ki se je v zadnjih letih razvil in se razvil v umetniškem kontekstu. ki se stoletja poraja v kontekstu gledališkega iskanja in ki na novi ravni zadovolji človekov duhovni nagon do lastnega ekstatičnega jedra, ki mu lahko zagotovi le vpogled v transcendentno resničnost in vse- Avtor se je pri svojem pisanju opiral na teoretična spoznanja mitologije, ritualizma in psihologije rituala ter na trideset let praktičnih izkušenj iz lastnega in tujega (Grotowski) performativnega ustvarjanja in aktivnih izkušenj objektivnega ritualizma, pa tudi iz raziskovanje različnih oblik povezovanja med gledališčem in ritualom.","<pad> Namen pričujočega članka je v zgoščeni obliki predstaviti bistvo gledališkega dogodka in obreda, njune"
1010,"Ključne besede: gledališče, sodobno gledališče, obred, performans, Grotowski, Evropa, zgodovina, ","Ključne besede: gledališče, sodobno gledališče, ritual, performans, Grotowski, Evropa, zgodovina,","<pad> Ključne besede: gledališče, sodobno gledališče, obred, performans, Grotowski, Evropa,"
1011,"Gledališče je poleg ustvarjalnega prostora tudi družbena ustanova z močno socialno funkcijo, kot prostor socialnega srečevanja v smislu družabnosti in statusnega displeja. Tudi obred ima socialno funkcijo, ki pa predstavlja obnovo in oživitev povezav na osnovi občega aktivnega izkustva globinskih bivanjskih korenin, stika z, kot to imenuje jungovec Neumann, ""duhom človeške vrste"" (Neumann, 1991, 11). Gledališče tudi zabava in sprošča od vsakdanjih stresov vročičnega posameznika. Ritual s svojimi temeljnimi bivanjskimi temami in zavestno kritičnimi situacijami, ki naj bi dramile nezavedne vsebine, predpostavlja udeležence, katerih vsakdanjost je uravnotežena in ki obred kot eksistenčni pretres sprejemajo kot zaželjeno in potrebno ""prenovitev v ognju"". Obredu je načelno tuj element komodnosti in zabavnosti, sprostitev pa se dogaja na globljem nivoju, kot posledica dokončanja potovanja skozi neznano, z vsemi njegovimi izzivi, napori in doživetji. V vsaki obrednosti je namreč zmeraj vsaj sled iniciacijske preizkušnje.","Poleg ustvarjalnega prostora je gledališče tudi socialna institucija z močno družbeno funkcijo, kot prostor družbenega srečevanja v smislu družabnosti in statusa. Slovesnost ima tudi družbeno funkcijo, ki predstavlja prenovo in oživitev povezav na podlagi splošne aktivne izkušnje globokih eksistencialnih korenin, stika z ""duhom človeške vrste "", kot ga imenuje Jungian Neumann (Neumann, 1991, 11). Gledališče zabava in se sprošča tudi od vsakdanjih stresov vročičnega posameznika. Gledališče se ukvarja z gledališčem, ki je obenem tudi z gledališko dejavnostjo. Ritual s svojimi osnovnimi eksistencialnimi temami in zavestno kritičnimi situacijami, ki naj bi bile drama nezavedne vsebine, ritual prevzame udeležence, katerih vsakdanje življenje je uravnoteženo in ki kot eksistencialni šok sprejmejo kot zaželen in potreben ""Načeloma je slovesnost tuj element komičnosti in zabave, sprostitev pa se odvija na globlji ravni, kot posledica zaključka potovanja skozi neznano, z vsemi njenimi izzivi, napori in izkušnjami.","<pad> Gledališče je poleg ustvarjalnega prostora tudi družbena ustanova z močno socialno funkcijo, kot prostor socialnega srečevanja"
1012,RESNICA V ŽIVLJENJU IN GLEDALIŠČU,Resnica v življenju in gledališču,<pad> RESNICA V ŽIVLJENJU IN GLEDALIŠČU</s>
1013,"Earg Aon, Peter Maule (1996, Zankoliči ob Dragonji, foto: B. Dolenc).","Earg Aon, Peter Maule (1996, Zankoliči ob Dragonji, foto: B. Dolenc).","<pad> Earg Aon, Peter Maule (1996, Zankoliči ob Dragonji,"
1014,"V naslednjem projektu, ""Majhna voda"" (1995) so obiskovalci prispeli že sredi popoldneva. V duha dogajanja jih je vpeljalo molčeče nekajurno ""potovanje"" po dolini, med katerim smo jih uvedli v preproste oblike povišane pozornosti do narave, skrbi za skupino in čutenje lastnega organizma. Pred večernim dogajanjem na podobni osnovi, kot je bilo v prejšnjem projektu, smo poskrbeli še za ustrezno mešanico predlogov osamitve, sproščene družabnosti in praktične pomoči pri pripravi večerje in ognja.","V naslednjem projektu Mala voda (1995) so obiskovalci prispeli sredi popoldneva in se v duhu prireditve seznanili s tihim ""potovanjem"" po dolini, med katerim smo jim predstavili preproste oblike povečane pozornosti do narave, skrbi za skupino in počutje lastnega organizma. Pred večernimi prireditvami smo na podobni osnovi kot v prejšnjem projektu poskrbeli tudi za ustrezno kombinacijo predlogov za izolacijo, sproščeno družabnost in praktično pomoč pri pripravi večerje in ognja.","<pad> V naslednjem projektu, ""Majhna voda"" (1995) so obiskovalci prispeli sredi popoldneva."
1015,"Gre torej za nekaj novega s pridihom nečesa zelo starega. Nekaj, kar ni ne gledališče ne obred, nekaj, kar ne terja apriorne pripadnosti skupini in aktivne udeležbe kot v klasičnem obredu, po drugi strani pa tudi ne nekaj, kar si lahko kupiš z vstopnico in si udobno ogledaš iz fotelja v temnem kotu. Težo kompleksnih vprašanj o možnosti obredne kulture ali performativne obrednosti torej znatno lajša spoznanje, da se v bistvu vračamo k nečemu, kar je v naših genih kot elementarno človeško in kar je bilo, na drug način in v drugačnem okolju, nekoč že živeto. Spet smo pri vii negativi, pri zgolj odstranjevanju kamenja, dušečega življenja. In spet se oglasi stari Grotowski: ""Odkritja so za našim hrbtom in treba je potovati vzvratno, da jih dosežemo."" (Grotowski, 1988, 39) Gotovo, pot je še dolga, a dosedanji obcestni plešoči kamni pričajo, da prava.","To je torej nekaj novega s pridihom nečesa zelo starega. Nekaj, kar ni niti gledališče niti ritual, nekaj, kar ne zahteva a priori članstva v skupini in aktivnega sodelovanja kot v klasični slovesnosti, ampak na drugi strani nekaj, kar lahko kupite z vstopnico in udobno vidite s stola v temnem kotu. Težavnost kompleksnih vprašanj o možnosti ritualne kulture ali performativnega rituala je zato bistveno olajšana s spoznanjem, da se v bistvu vračamo k nečemu, kar je v naših genih Spet kot osnovni človek in da je bilo, na drugačen način in v drugačnem okolju, nekoč živelo., smo v vii negativu, v zgolj kamnih, odstranjujemo življenje. In spet stari zvoki Gowskega ""Odkrili so za našim hrbtom in je potrebno, da jih dosežemo ""(1988), na preveč dolg način nazaj na drugačen način.","<pad> Gre za nekaj novega, nekaj, kar ni gledališče ne obred, nekaj, kar ni gledališče ne"
1016,"Artaud, A. (1964): Theatre et son double. Paris, Gallimard.","Artaud, A. (1964): Theatre et son double, Paris, Gallimard.","<pad> Artaud, A. (1964): Theatre et son double. Paris,"
1017,"Grotowski, J. (1988): Performer. V: Workcenter of J. Grotowski. Pontedera, Centro per la sperimentazione teatrale.","Grotowski, J. (1988): Performer. V: Delovni center J. Grotowski. Pontedera, Centro per la Sperimentazione teatrale.","<pad> Grotowski, J. (1988): Performer. V: Workcenter"
1018,"Vzporedno z reformo organizacije gledališke dejavnosti se je dogajala tudi reforma gledaliških zvrsti: od tragedije, ko se z Meropo Scipiona Maffeia udejanji prva resnična zmaga književnega dela na javnih odrih Italije (Ortolani, 1962, 128), do opere, kjer se uveljavi težnja po ravnovesju med vsemi zvrstmi umetnosti, medtem ko naj bi samostojnost in umetniško dostojanstvo dobil dramski tekst oziroma libreto. V sodelovanju skladatelja Baldassarra Galuppija, imenovanega Il Buranello, in Carla Goldonija kot libretista, se v Benetkah, v nasprotju z že razširjeno neaplejsko opero buffo, kot njena inačica rodi in uveljavi komična beneška opera (Mangini, 1974, 128). Z zahtevnimi scenografijami, mitološkimi in junaškimi vsebinami pa so poleg opere vse bolj priljubljeni tudi plesi. In ne glede na dejstvo, da je opera še vse 18. stoletje poglavitna zvrst, ji komedija začne konkurirati, tako da jo gledališča, v izmenjavi z opero, vse pogosteje uvrščajo na repertoar.","Vzporedno z reformo organizacije gledaliških dejavnosti je prišlo tudi do preoblikovanja gledaliških žanrov: iz tragedije, ko je Meropa Scipione Maffeia realiziral prvo pravo zmago literarnega dela na javnih odrih v Italiji (Ortolani, 1962, 128) v opero, kjer se vzpostavlja težnja po ravnovesju med vsemi žanri umetnosti, medtem ko je treba neodvisnost in umetniško dostojanstvo dati dramskemu besedilu ali libretu. V sodelovanju s skladateljem Baldassarrom Galuppijem, imenovanim Il Buranello, in Carlom Goldonijem kot libretistom, opera v Benetkah, v nasprotju z že obstoječo opero, beneški buf, kot njena različica rojeva in vzpostavlja komični repertoar (, 12874,). Z zahtevami mitoloških plesov in prizorov v 18. stoletju poleg tega je vse bolj priljubljena opera, ki v 18. stoletju tekmuje z operno opero.",<pad> Vzporedno z reformo organizacije gledališke dejavnosti se je dogajala tudi reforma gledaliških zvrsti: od tragedije
1019,"Iz dokumenta razberemo, da so bili prostor in pritikline v mestni četrti Belveder, ki jih je uporabljalo koprsko akademsko gledališče, že od začetka v hiši Janeza Dominika Grisona, sama stavba pa je bila pod hipoteko letno obremenjena z 12.8 lirami v korist družine Rodella iz Podpeči. Premoženje in bremena Grisonija so nato 3. septembra 1649 prešla v last Filippa d'Ambrosija, ki je moral dajatve plačevati družini Rodella. Omenjeno hipoteko 12.8 lir na breme stavbe v Kopru je vdova pokojnega Petra Rodelle, gospa Barbara, leta 1650 prodala Dominiku Tiepolu. V dokumentih za predajo lastništva je omenjeno, da je bila hiša iz koprske četrti Belveder najprej v lasti Grisonija in da je že od takrat bila oddana v uporabo akademiji. Stavba je bila od tedaj preurejena v sedež akademije, ki je plačevala 60 lir letne najemnine Juliji d'Ambrosi, sodišče pa je kasneje sklenilo, naj akademija plačuje 31 lir Andreju Tiepolu, ostalo pa Juliji d'Ambrosi. Kasneje pa je bila ta ista stavba preurejena v akademsko gledališče. Na podlagi dediščine sta vsa imovina pokojnega Grisonija in omenjeno breme na stavbo prešla v last Girolama Gravisija in naslednikov. Akademija in akademsko gledališče sta ves čas svojega delovanja zanjo redno plačevali letno najemnino družini Gravisi. V 19. stoletju so si novi lastniki lož prisvojili stavbo in si tu postavili gledališče. Gravisijem pa niso hoteli plačevati najemnine zanjo. Tako so ti zadevo predali sodišču.","Iz dokumenta je razvidno, da so bili prostor in pripomočki v mestni četrti Belvedere, ki jo uporablja Akademsko gledališče Koper, od začetka v hiši Janeza Dominika Grisona, sama stavba pa je bila pod hipoteko letno obremenjena z 12,8 lire v korist družine Rodella iz Podpeči. Premoženje in bremena Grisonija so bila nato 3. septembra 1649 v lasti Filippa d 'Ambrosija, ki je moral plačevati najemnino družini Rodella. V dokumentih za prenos lastništva je omenjeno, da je bila hiša iz četrti Belvedere iz Kopra najprej v lasti Grisonija in je od takrat v uporabo dobila Akademija. Stavba je bila od leta pretvori v sedež akademije, ki je plačal 60 lir letne najemnine Julia d 'Ambrosi, in sodišče je kasneje odločilo, da bi morala akademija plačati 31 lir Andrei Tiepolo in ostalo Julia d 'Ambrosa. kasneje, Vendar pa, ta ista stavba je bila pretvorjena v akademsko gledališče. Na podlagi dediščine, vse premoženje pokojnega Grisoni je in breme omenjeno na stavbi prešla na Girol Gravisi in njegovih naslednikov. Akademija in Akademsko gledališče redno plačal letno najemnino za družino Gravisi v času njihovega celotnega obstoja. V 19. stoletju so se je polastili novi lastniki lože in tu zgradili gledališče, vendar Gravisijevi niso hoteli plačati najemnine.","<pad> Iz dokumenta razberemo, da so bili prostori in pritikline v mestni četrti Belveder,"
1020,DI CAPODISTRIA,V glavnem mestu,<pad> DI CAPODISTRIA</s>
1021,1.2. Lastniki gledališke stavbe,1.2. Lastniki gledališke stavbe,<pad> 1.2. Lastniki gledališke stavbe</s>
1022,"Leta 1760 so z zidnimi tapetami prelepili il ""Camerino del Teatro"", leta 1764 so imeli izredne izdatke za popravilo gledaliških polken, leta 1778 pa so zopet porabili večje vsote za obnovo zunanjosti in notranjosti gledališke hiše. Tako so obnovili okna, kar 300 lir pa so porabili za ""in ocasione delle Scene e Tendoni provvedute per questo pubblico teatro, giusto la commissione dalli spettabili Sindici"".","Leta 1760 so pokrivali ""Camerino del Teatro"" s stenskimi oblogami, leta 1764 so morali porabiti dodaten denar za popravilo polken, leta 1778 pa so ponovno porabili velike vsote za obnovo zunanjosti in notranjosti gledališča, zato so obnovili okna, medtem ko so 300 lir porabili za ""caseine delle Scene e Tendoni provved per questo pubblico teatro, giusto la commissione dalli aga syndici"".","<pad> Leta 1760 so z zidnimi tapetami prelepili il ""Camerino del"
1023,"Koprsko gledališče še danes kaže arhitektonsko zasnovo beneškega, ki se je v sedemnajstem stoletju uveljavilo z uokvirjenim odrom, orkestrsko jamo in ložami, radialno razdeljenimi v balkone in podkvasto razporejenimi v štiri nadstropja.","V Gledališču Koper je še danes prikazana arhitekturna zasnova beneškega sloga, ki se je uveljavil v sedemnajstem stoletju z uokvirjenim odrom, orkestrsko jamo in ložami, ki so radialno razdeljene na balkone in podkve s štirimi nadstropji.","<pad> Koprsko gledališče še danes kaže arhitekturno zasnovo beneškega, ki se je v sedemnajstem"
1024,"Toliko o samem gledališkem prostoru. Kar pa se tiče scenografije, najprej povejmo, da se le-ta začne uveljavljati kot profesionalno znanje v 17. stoletju, ko postane arte (Zorzi, 1977, 262). Beneški scenografi razvijejo svojo šolo, za katero je značilna predvsem omilitev najbolj pretiranih in spektakelskih elementov, značilnih pri scenografskih postavitvah opere.","Kar se scenografije tiče, najprej povejmo, da se je začela uveljavljati kot strokovno znanje v 17. stoletju, ko je postala arte (Zorzi, 1977, 262). Beneški scenografi razvijajo svojo šolo, za katero je značilna predvsem omilitev najbolj pretiranih in spektakularnih elementov, ki so značilni za scenografske postavitve opere.","<pad> Toliko o samem gledališkem prostoru. Kar se tiče kostumov, najprej povejmo, da se"
1025,"Igralci so bili v tistem času aktivni vse do svoje visoke starosti, saj je bila odrska igra edini vir njihovega preživetja. Tako je tudi Marliani vse do zadnjega ostal na odru kot velik in spoštovan igralec (Bartoli, 1781, 1978, 27).","Igralci so bili aktivni do svoje visoke starosti, saj je bila odrska igra edini vir njihovega preživetja, Marliani pa je ostal na odru do zadnjega trenutka kot velik in spoštovan igralec (Bartoli, 1781, 1978, 27).","<pad> Igralci so bili v tistem času aktivni vse do svoje visoke starosti, saj je bila odrska igra"
1026,"Z zahtevami po rednih vajah in spoštovanju besedila komedije je naravnejšo igro zahteval tudi Goldoni, Denis Diderot ji je v delu Paradoxe sur le comedien postavil teoretične temelje, med igralci pa se je v praksi zanjo prvi začel zavzemati angleški igralec David Garrick, kateremu gre tudi zasluga, da so v drugi polovici 18. stoletja z odra končno pregnali petične gledalce, ki so na odru, resnici na ljubo, bili bolj zaradi izkazovanja svojega razkošja kot pa zaradi predstave same. ","V svojem delu Paradoxe sur le Comedien, Denis Diderot postavil teoretične temelje za to, medtem ko je med akterji je bil prvi za angleški igralec David Garrick, ki je tudi zaslužen za dejstvo, da je v drugi polovici 18. stoletja, pet gledalcev so bili končno izgnan iz odra, ki, v resnici, so bili bolj za prikazovanje svoje razkošje kot za same izvedbe.",<pad> Z zahtevami po rednih vajah in spoštovanju besedila komedije je naravnanejša igra zahtevala tudi Goldo
1027,"5 Il Buranello je vzdevek skladatelja Baldassara Galuppija, enega najpomembnejših skladateljev opere buffe, ki jo je v letih 1749-66 skladal na Goldonijeve librete.","5 Il Buranello je vzdevek skladatelja Baldassara Galuppija, enega najpomembnejših skladateljev opere Buffa, ki jo je napisal na Goldonijeve librete v letih 1749-66.",<pad> 5 Il Buranello je vzdevek skladatelja Baldassara Galuppija
1028,"Težnja k preprostosti in jasnosti tragedije ter izražanja izhaja iz kartezijanskega okusa in racionalistične poetike pa tudi iz rimske akademije Arcadia, ki si je za cilj postavila opustitev baročnega pretiravanja in ponovno vzpostavitev klasične tradicije, kjer bi bila bistvena preprostost izražanja in čustev, čeprav so se v praksi stvari obrnile drugače. Arkadična je tudi idiličnost sveta, v katerem pastirji in nimfe živijo v enakopravnosti, brez razlikovanj med visokimi in nizkimi družbenimi sloji. Tako princesa Euriala zahteva, da jo nimfa Serminda kliče kar po imenu. Po njenem vljudnost na dvoru ni nikoli tako čista, saj jo kazita tako laž kot koristoljubje. ","Želja po preprostosti in jasnosti tragedije in izražanja izhaja tako iz kartezijanskega okusa in racionalistične poetike kot tudi iz Rimske akademije v Arkadiji, katere cilj je bil opustiti baročno pretiravanje in ponovno vzpostaviti klasično tradicijo, kjer bi bila bistvena preprostost izražanja in čustvovanja, čeprav so se stvari v praksi obrnile drugače. Idilični svet, v katerem pastirji in nimfe živijo v enakosti, ne da bi razlikovali med visokimi in nizkimi družbenimi razredi, je prav tako arkadičen. Tako princesa Euriala zahteva, da jo nimfa Serminda kliče po imenu",<pad> Težnja k preprostosti in jasnosti tragedije in izražanja izhaja iz kartezijanskega okusa in
1029,Medea (iz Finijeve tragedije):,Medeja (iz knjige Finijeva tragedija),<pad> Medea (iz Finijeve tragedije):</s>
1030,"Vi rimane fondar Sede immortale,",Ti si tisti nesmrtni Sede.,"<pad> Vi rimane fond Sede immortale,</s>"
1031,E la Sapidia antica,E la Sapidia antica,<pad> E la Sapidia antica</s>
1032,Soccorso...aiuto...oh ciel! più non resisto. (a),Socorso... Aiuto... oh ciel più non resisto. (a),<pad> Soccorso...aiuto...oh ciel! più non re
1033,"Eh no questi non son, nulla pavento.","Eh ne questi non sin, nič pavento.","<pad> Eh no questi non son, nulla pavento.</s>"
1034,Tutti venite ad ispecchiarvi come,Tutti venite ad ispecchiarvi come,"<pad> Tutti venite, ad ispecchiarvi come</s>"
1035,"Or pronta il capo, e il mio piacer fecondi;","Ali prota il capo, in mio piacer fecondi;",<pad> Or pronta il capo e il capo e il capo e i
1036,Così compia i suoi dì chi altiera tanto,V mojem primeru je to velika razlika.,<pad> Così compia i suoi dì chi altiera tanto</s>
1037,c. Si alza infuriata.,to sem tudi storil.,<pad> c. Si alza infuriata</s>
1038,"Na tragedijo Erizio pa moramo gledati tudi z vidika obdobja, v katerem je bila napisana, saj je bil grof Stefano človek svojega časa.","Na Erizijevo tragedijo je treba gledati tudi z vidika obdobja, v katerem je bila napisana, saj je bil grof Stefano človek svojega časa.","<pad> Na tragedijo Erizio moramo gledati tudi z vidika obdobja, v katerem je bila napisana, saj"
1039,"Zato ni čudno, da se v tragediji grofa Stefana, La Erizia, prepletajo tragični in sentimentalni elementi, do katerih je bil strpen celo Voltaire. Po njegovem sme biti v tragedijo vpletena tudi ljubezen, vendar le takrat, ko je bistvenega pomena za osnovno dogajanje in če je njeno prikazovanje prilagojeno moralnim zahtevam zvrsti: vidne morajo biti njene nevarnosti, ki lahko pripeljejo v trpljenje in celo v zločin. Poleg tega pa v Voltairovi dramski teoriji zasledimo tudi nov poudarek na emotivnem in predvsem sentimentalnem aspektu dogajanja (Carlson, 1989, 171).","Zato ni čudno, da je tragedija grofa Stefana, La Erizia, prepletena s tragičnimi in sentimentalnimi elementi, do katerih je bil strpen celo Voltaire. Po njegovem mnenju lahko tragedija vključuje tudi ljubezen, a le, če je bistvena za temeljne dogodke in če je njena predstavitev prilagojena moralnim zahtevam sentimentalnega žanra, morajo biti vidne njene nevarnosti, kar lahko vodi v trpljenje in celo v kriminal. Poleg tega najdemo Voltairovo dramsko teorijo tudi nov poudarek na čustvenem in predvsem čustvenem vidiku dogodkov (Carlson, 1989, 171).","<pad> Zato ni čudno, da se v tragediji Stefana, La Erizia, prepletajo tragi"
1040,"Prvi je osnutek tragedije, z naslovom Merope. Tragedia (PAK, RAG, 12).","Prva je osnutek tragedije z naslovom Meropa. Tragedija (PACK, RAG, 12).","<pad> Prvi osnutek tragedije z naslovom Merope. Tragedia (PAK, RAG"
1041,Mi fece intenerir tutto il mio core,Mi smo tuter tutto il mio core,<pad> Mi fece intenerir tutto il mio core</s>
1042,Si di Cresfonte le sembianze i tratti,Si di Cresfonte le sembianze in tratti,<pad> Si di Cresfonte le sembianze i tratti</s>
1043,Deve alla moglie prima Donar tutto se stesso,Deve alla mailie prima Donar tutto se stesso,<pad> Deve alla moglie prima Donar tutto se stesso</s>
1044,Se mi avesse piaciuto il far d'innamorato,"Se mi zdi, da sem daleč čez mejo",<pad> Se mi avesse piaciuto il far d'innamora
1045,Ma se ci penso un giorno io vivo in pene.,Ma se ci penso un giorno io vivo in pena.,<pad> Ma se ci penso un giorno io vivo in pene.</s>
1046,Io son senza contanti at capo di due ore,Io son senza contanti at capo di due ore,<pad> Io son senza contanti at capo di due ore</s>
1047,"Leta 1758 se je po očetovi smrti vrnil v Koper, da bi z bratom Stefanom uredil zadeve pri dedovanju. Ker je želel, da bi se tudi v Istro začela vpeljevati industrijska proizvodnja, je v Koper prestavil predilnico volne, ki jo je v okolici Benetk podedoval od svoje prve žene. Ob tem so ga koprski plemiči, prepričani, da vsako delo škodi njihovemu dostojanstvu, izpostavili posmehu celega mesta. Ko je predilnico po enoletnem delovanju poplavilo, je Carli ni več obnovil, temveč je odšel iz Kopra. Pred tem pa je bilo zelo pomembno njegovo kratko predsednikovanje akademiji Risorti, ki je po njegovi zaslugi pridobila odločilni zagon.","Po očetovi smrti se je leta 1758 vrnil v Koper, da bi skupaj z bratom Stefanom uredil dediščino. Ker je hotel, da Istra prične z industrijsko proizvodnjo, je v Koper preselil predilnico, ki jo je podedoval od svoje prve žene v okolici Benetk. Hkrati so ga koprski plemiči, prepričani, da vsako delo škoduje njihovemu dostojanstvu, izpostavili posmehu nad celotnim mestom. Ko je po enoletnem delu zalila predilnica, Carli ni več obstajala, ampak je zapustil Koper. Pred tem je bilo zelo pomembno obnoviti njegovo kratko predsedovanje Akademiji Risogori, ki je po njegovi zaslugi dobila odločilen zagon.","<pad> Leta 1758 se je oče vrnil v Koper, da bi uredil zadeve pri dedovanju. Ker"
1048,4.4.1. Tragedija Ifigenia in Tauri,4.4.1 Tragedija v času Ifigenije in Taurijev,<pad> 4.4.1. Tragedija Ifigenia in Tauri</s>
1049,"e) Nazadnje lahko rečemo, da navsezadnje sploh ni bilo tako malo predstav, kot se nam zdi na prvi pogled, še posebej, če pomislimo na velikost Kopra v 18. stoletju in če upoštevamo dejstvo, da je imelo daljše premore v dejavnosti celo beneško gledališče San Moise, medtem ko se je tudi gledališče San Samuele v prvi polovici stoletja odpiralo le v času sejma ob prazniku vnebovzetja.","e) Končno lahko rečemo, da kljub vsemu ni bilo tako malo predstav, kot se zdi na prvi pogled, še posebej, če upoštevamo velikost Kopra v 18. stoletju in če upoštevamo dejstvo, da je celo beneško gledališče San Moise imelo daljše prekinitve v svoji dejavnosti, medtem ko je bilo celo gledališče San Samuela v prvi polovici stoletja odprto šele med festivalom Marijinega vnebovzetja.","<pad> e) Če se vrnemo na prvi pogled, lahko rečemo, da je bilo v Kopru v 18."
1050,"d) Večina gledaliških del koprskih avtorjev so tragedije. To je tudi razumljivo, če pomislimo na dejstvo, da je bila tragedija vedno elitna zvrst, vezana na dvor in akademsko literarno tradicijo. Ozkemu krogu prijateljev, pred katerim so plemiči sami uprizarjali besedila, je bila pomembnejša vsebina dela kot pa izgled njegove uprizoritve.","d) Večina koprskih gledaliških del je tragedij, kar je razumljivo, saj je bila tragedija od nekdaj elitna zvrst, povezana z dvornim in akademskim literarnim izročilom. Za ozek krog prijateljev, pred katerimi so plemiči sami uprizarjali besedila, je bila vsebina dela pomembnejša od videza njegove uprizoritve. ""","<pad> d) Večina gledaliških del koprskih avtorjev so tragedije. To je razumljivo, če pomislimo"
1051,"Carli, S. (1791): La Erizia. Tragedia nuova del conte Stefano Carli, dedicata alli Signori Voltaire e Rousseau. Venezia.","Carli, S. (1791): La Erizia. Tragedija je del conte Stefano Carli, dedicata alli Signori Voltaire e Rousseau. Venezia.","<pad> Carli, S. (1791): La Erizia. Tragedia nuova del"
1052,"Goldoni, C. (1973): Il teatro comico, a cura di Pietro Grains, D. (1907): Carnevali istriani d'altri tempi. Il Palvese, 6.","Goldoni, C. (1973): Il teatro comico, a cura di Pietro Grains, D. (1907): Carnevali istriani d 'altri tempi Il Palvese, 6.","<pad> Goldoni, C. (1973): Il teatro comico di Pietro Gra"
1053,"Sanesi, I. (1935): La commedia. Milano, Francesco Vallardi.","Sanesi, I. (1935): La commedia, Milano, Francesco Vallardi.","<pad> Sanesi, I. (1935): La commedia. Milano, Francesco"
1054,"Voltaire de, F. - M. A. (1841): Alzira. Tragedia. V: Teatro moderno applaudito, ossia Raccolta delle più scelte tragedie, commedie, drammi e farse, corredate da notizie storico-critiche. Venezia, Giuseppe Gattei.","Voltaire de, F. - M. A. (1841) Alzira. tragedija. V: Teatro moderno aplavito, ossia Raccolta delle più scelte tragicie, commedie, drama in farsa, Cordate da notizie storico-kritiche. Venezia, Giuseppe Gattei.","<pad> Voltaire de, F. - M. A. (1841): Alzira. Tra"
